date,rank,title,artists,featured
2020-09-05,1,WAP,Cardi B,Megan Thee Stallion
2020-09-05,2,Dynamite,BTS,N/A
2020-09-05,3,Mood,24kGoldn,iann dior
2020-09-05,4,Hawai,Maluma,N/A
2020-09-05,5,Laugh Now Cry Later,Drake,Lil Durk
2020-09-05,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,N/A
2020-09-05,7,Blinding Lights,The Weeknd,N/A
2020-09-05,8,Ice Cream,BLACKPINK X Selena Gomez,N/A
2020-09-05,9,Rockstar,DaBaby,Roddy Ricch
2020-09-05,10,Watermelon Sugar,Harry Styles,N/A
2020-09-05,11,Popstar,DJ Khaled,Drake
2020-09-05,12,For The Night,Pop Smoke,Lil Baby & DaBaby
2020-09-05,13,Relacion,"Sech, Daddy Yankee & J Balvin",Rosalia & Farruko
2020-09-05,14,Roses,SAINt JHN,N/A
2020-09-05,15,Mood Swings,Pop Smoke,Lil Tjay
2020-09-05,16,Caramelo,Ozuna x Karol G x Myke Towers,N/A
2020-09-05,17,Whats Poppin,Jack Harlow,"DaBaby, Tory Lanez & Lil Wayne"
2020-09-05,18,Dance Monkey,Tones And I,N/A
2020-09-05,19,Head & Heart,Joel Corry X MNEK,N/A
2020-09-05,20,Heather,Conan Gray,N/A
2020-09-05,21,Breaking Me,Topic & A7S,N/A
2020-09-05,22,Rain On Me,Lady Gaga & Ariana Grande,N/A
2020-09-05,23,Midnight Sky,Miley Cyrus,N/A
2020-09-05,24,Lemonade,Internet Money & Gunna,Don Toliver & NAV
2020-09-05,25,"Ay, Dios Mio!",Karol G,N/A
2020-09-05,26,Go Crazy,Chris Brown & Young Thug,N/A
2020-09-05,27,Come & Go,Juice WRLD x Marshmello,N/A
2020-09-05,28,Tattoo,Rauw Alejandro x Camilo,N/A
2020-09-05,29,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,N/A
2020-09-05,30,You Broke Me First.,Tate McRae,N/A
2020-09-05,31,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",N/A
2020-09-05,32,Someone You Loved,Lewis Capaldi,N/A
2020-09-05,33,How You Like That,BLACKPINK,N/A
2020-09-05,34,Before You Go,Lewis Capaldi,N/A
2020-09-05,35,Kings & Queens,Ava Max,N/A
2020-09-05,36,Hit Different,SZA,Ty Dolla $ign
2020-09-05,37,Don't Start Now,Dua Lipa,N/A
2020-09-05,38,Greece,DJ Khaled,Drake
2020-09-05,39,Life Is Good,Future,Drake
2020-09-05,40,The Woo,Pop Smoke,50 Cent & Roddy Ricch
2020-09-05,41,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,N/A
2020-09-05,42,Tap In,Saweetie,N/A
2020-09-05,43,Death Bed,Powfu,beabadoobee
2020-09-05,44,Take You Dancing,Jason Derulo,N/A
2020-09-05,45,Jerusalema,Master KG,Burna Boy & Nomcebo Zikode
2020-09-05,46,Agua,Tainy x J Balvin,N/A
2020-09-05,47,Break My Heart,Dua Lipa,N/A
2020-09-05,48,Wishing Well,Juice WRLD,N/A
2020-09-05,49,Smile,Juice WRLD & The Weeknd,N/A
2020-09-05,50,Say So,Doja Cat,N/A
2020-09-05,51,Circles,Post Malone,N/A
2020-09-05,52,Savage,Megan Thee Stallion,Beyonce
2020-09-05,53,Be Like That,Kane Brown With Swae Lee & Khalid,N/A
2020-09-05,54,My Ex's Best Friend,Machine Gun Kelly X blackbear,N/A
2020-09-05,55,Bad Guy,Billie Eilish,N/A
2020-09-05,56,ily,Surf Mesa,Emilee
2020-09-05,57,Djadja,Aya Nakamura,Maluma
2020-09-05,58,Baby Shark,Pinkfong,N/A
2020-09-05,59,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,N/A
2020-09-05,60,Stuck With U,Ariana Grande & Justin Bieber,N/A
2020-09-05,61,Perfect,Ed Sheeran,N/A
2020-09-05,62,Blueberry Faygo,Lil Mosey,N/A
2020-09-05,63,Rags2Riches,Rod Wave,ATR Son Son
2020-09-05,64,Lithuania,Big Sean,Travis Scott
2020-09-05,65,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",N/A
2020-09-05,66,Dior,Pop Smoke,N/A
2020-09-05,67,Over Now,Calvin Harris X The Weeknd,N/A
2020-09-05,68,Wolves,Big Sean,Post Malone
2020-09-05,69,Party Girl,StaySolidRocky,N/A
2020-09-05,70,The Box,Roddy Ricch,N/A
2020-09-05,71,Adore You,Harry Styles,N/A
2020-09-05,72,Senorita,Shawn Mendes & Camila Cabello,N/A
2020-09-05,73,Toosie Slide,Drake,N/A
2020-09-05,74,Memories,Maroon 5,N/A
2020-09-05,75,Old Town Road,Lil Nas X,Billy Ray Cyrus
2020-09-05,76,Intentions,Justin Bieber,Quavo
2020-09-05,77,Cardigan,Taylor Swift,N/A
2020-09-05,78,I Hope,Gabby Barrett,N/A
2020-09-05,79,Porfa,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",N/A
2020-09-05,80,Yoru Ni Kakeru,YOASOBI,N/A
2020-09-05,81,Shallow,Lady Gaga & Bradley Cooper,N/A
2020-09-05,82,Believer,Imagine Dragons,N/A
2020-09-05,83,In Your Eyes,The Weeknd,N/A
2020-09-05,84,Be Kind,Marshmello & Halsey,N/A
2020-09-05,85,Still Don't Know My Name,Labrinth,N/A
2020-09-05,86,Shape Of You,Ed Sheeran,N/A
2020-09-05,87,Ride It.,Regard,N/A
